Company Name,Legal Name,Company Description,Director Name,Director Position,Phone Numbers,Email Addresses,Websites,Addresses,Activity Types,Social Links,Last Updated,Source URL,Scraped At
"""ГРИН ДЕВЕЛОПМЕНТ"" общество с ограниченной ответственностью (ООО)",,,,,+37494664522,,,"Армения, 0052, Ереван Царав Ахпюри ул. , 61/4 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",,31.10.2025,https://www.spyur.am/ru/companies/green-development/56318,2026-07-12T21:05:41+00:00
"""ЛИ ЛЕЙК""",,,,,+37433771111,,,"Армения, Гегаркуникский марз, Севан Горцаранаин ул., 17/1 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЖИЛЫЕ ПОМЕЩЕНИЯ (ЖИЛАЯ НЕДВИЖИМОСТЬ) ОТ ЗАСТРОЙЩИКА ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/lilakeresort/?_rdr,25.02.2026,https://www.spyur.am/ru/companies/li-lake/56371,2026-07-12T21:05:43+00:00
"""ЭКО СТАНДАРТ ШИН"" общество с ограниченной ответственностью (ООО)",,,Геворк Садоян,директор,+37455066060,,,"Армения, Араратский марз, Норабац село Нор Тахамас квартал, 7-я улица, 35 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЖИЛЫЕ ПОМЕЩЕНИЯ (ЖИЛАЯ НЕДВИЖИМОСТЬ) ОТ ЗАСТРОЙЩИКА ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",,10.03.2026,https://www.spyur.am/ru/companies/eco-standart-shin/56399,2026-07-12T21:05:44+00:00
"""ТОП БИЛДИНГС""",,,,,+37433583333,,https://topbuildings.am/,"Армения, Ереван Аван-Ариндж, Ашхабади ул., 9/2 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/profile.php?id=61555972335140,26.02.2026,https://www.spyur.am/ru/companies/top-buildings/56577,2026-07-12T21:05:46+00:00
"""АБОВЯН СИТИ ХАУС"" общество с ограниченной ответственностью (ООО)",,,,,+37433151000,,,"Армения, Котайкский марз, Абовян","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/abovyancityhouse/,28.11.2025,https://www.spyur.am/ru/companies/abovyan-city-house/56576,2026-07-12T21:05:51+00:00
"""АЙВИ ГАРДЕН""",,,,,+37493041002,,https://www.ivygarden.am/ru,"Армения, Ереван Арменак Арменакян ул. , 108/7 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЖИЛЫЕ ПОМЕЩЕНИЯ (ЖИЛАЯ НЕДВИЖИМОСТЬ) ОТ ЗАСТРОЙЩИКА ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/ivygarden.am,22.04.2026,https://www.spyur.am/ru/companies/ivy-garden/56785,2026-07-12T21:05:59+00:00
"""ДАВ КОНСТРАКШН""",,,,,+37477500095,,,"Армения, Котайкский марз, Ариндж село А квартал, 4-я улица, 1 земельный участок","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЖИЛЫЕ ПОМЕЩЕНИЯ (ЖИЛАЯ НЕДВИЖИМОСТЬ) ОТ ЗАСТРОЙЩИКА ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/profile.php?id=61556541356737,09.12.2025,https://www.spyur.am/ru/companies/dav-construction/56818,2026-07-12T21:06:01+00:00
"""ГРИН ХИЛЗ"" общество с ограниченной ответственностью (ООО)",,,Ара Айрапетян,директор,+37495260101; +37496250101,,,"Армения, 0019, Ереван Антараин ул., 170 дом; Армения, Ереван Давид Беки ул. , 103/5 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЖИЛЫЕ ПОМЕЩЕНИЯ (ЖИЛАЯ НЕДВИЖИМОСТЬ) ОТ ЗАСТРОЙЩИКА ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/greenhillsarm,19.01.2026,https://www.spyur.am/ru/companies/green-hills/56903,2026-07-12T21:06:05+00:00
"""ТНАК ШИН"" общество с ограниченной ответственностью (ООО)",,,Дейвид Киракосян,директор,+37494176706,,http://www.tnakshin.am/,"Армения, Ереван Ваагн Давтян ул. , 24 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.instagram.com/tnakshin_/,30.01.2026,https://www.spyur.am/ru/companies/tnak-shin/57003,2026-07-12T21:06:11+00:00
"""ЛИБЕРТИ УАН"" ЖИЛОЙ КОМПЛЕКС (общество с ограниченной ответственностью/ООО ""КАПИТАЛ ПЛЮС"")",,,,,+37441250000,,https://libertyone.am/,"Армения, Ереван Азатутян пр., 1/43 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЖИЛЫЕ ПОМЕЩЕНИЯ (ЖИЛАЯ НЕДВИЖИМОСТЬ) ОТ ЗАСТРОЙЩИКА ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/liberty1.yerevan,09.03.2026,https://www.spyur.am/ru/companies/liberty-one-residential-complex/57052,2026-07-12T21:06:15+00:00
"""ЭН АЙ КОНСТРАКШН""",,,,,+37411500177; +37441440301,,,"Армения, 0015, Ереван Дзорапи ул. , 70/3 дом, 3-й этаж","Торговые марки, бренды ""АЛДИНА РЕЗИДЕНС"", застройщик ""НЬЮ АРИНДЖ РЕЗИДЕНС"", застройщик ""НЬЮ ГАРДЕН ХАУС"", застройщик",https://www.facebook.com/niconstructionyerevan,21.04.2026,https://www.spyur.am/ru/companies/ni-construction/57584,2026-07-12T21:06:19+00:00
"""АЗАТУТЮН"" МНОГОФУНКЦИОНАЛЬНЫЙ КОМПЛЕКС (закрытое акционерное общество/ЗАО ""ГРИН ПРОПЕРТИ ДИВЕЛОПМЕНТ"")",,,,,+37499199000; +37412599900,,https://azatutyuncomplex.am/,"Армения, 0014, Ереван Азатутян пр., 26/1 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЖИЛЫЕ ПОМЕЩЕНИЯ (ЖИЛАЯ НЕДВИЖИМОСТЬ) ОТ ЗАСТРОЙЩИКА ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/azatutyuncomplex,01.05.2026,https://www.spyur.am/ru/companies/azatutyun-multifunctional-complex/57685,2026-07-12T21:06:23+00:00
"""ЭЙ ЭМ ПИ ДЕВЕЛОПМЕНТ"" общество с ограниченной ответственностью (ООО)",,,,,+37460778122,,https://www.clubhouseyerevan.am/,"Армения, Ереван Норк, Гарегин Овсепян ул. , 22/11 дом","Торговые марки, бренды ""КЛАБХАУС"", застройщик",https://www.facebook.com/profile.php?id=61564277527511,13.06.2025,https://www.spyur.am/ru/companies/amp-development/57780,2026-07-12T21:06:36+00:00
"""ПРАЙМ ДЕВЕЛОПЕРС""",,,,,+37498844771; +37477890047,,https://primedevelopers.am/ru,"Армения, 0037, Ереван Бабаян ул., 10/1 дом","Торговые марки, бренды ""ДИСКАВРИ ПЛАЗА"" («ԴԻՍՔԱՎՐԻ ՊԼԱԶԱ»), застройщик",https://www.facebook.com/profile.php?id=100095614057576,03.07.2025,https://www.spyur.am/ru/companies/prime-developers/57911,2026-07-12T21:06:47+00:00
"""ЭНКИ КОНСТРАКШН""",,,,,+37444888109,,https://www.enki.construction/,"Армения, Тавушский марз, Дилижан Андраники ул. 3-й пер., 21/1 строение","Торговые марки, бренды ""МИРЕЛЛ"" БУТИК-ОТЕЛЬ (Армения), застройщик",https://www.facebook.com/MirellProject,17.04.2026,https://www.spyur.am/ru/companies/enki-construction/58026,2026-07-12T21:06:59+00:00
"""КАМЕРТУН"" МУЛЬТИФУНКЦИОНАЛЬНЫЙ КОМПЛЕКС",,,,,+37444224422,,https://kamertoon.am/,"Армения, Ереван Дзорагюх этнографический квартал, Сергей Параджанови ул., 8 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ СТРОИТЕЛЬСТВО СТРОИТЕЛЬСТВО ЗДАНИЙ И СООРУЖЕНИЙ",https://www.instagram.com/kamertoon.am/,29.01.2026,https://www.spyur.am/ru/companies/kamertoon-multifunctional-complex/58959,2026-07-12T21:07:09+00:00
"""НЕМАЛ"" общество с ограниченной ответственностью (ООО)",,,,,,,,"Армения, Сюникский марз, Капан Арам Манукян ул., 1а дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ СТРОИТЕЛЬСТВО СТРОИТЕЛЬСТВО ЗДАНИЙ И СООРУЖЕНИЙ",,19.03.2025,https://www.spyur.am/ru/companies/nemal/26237,2026-07-12T21:07:10+00:00
"""ЭНИБИЛД"" общество с ограниченной ответственностью (ООО)",,,,,,,,"Армения, 0001, Ереван Анрапетутян ул. , 80 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ АГЕНТСТВО НЕДВИЖИМОСТИ",,12.03.2025,https://www.spyur.am/ru/companies/anybuild/56127,2026-07-12T21:07:12+00:00
"""ПАРКЛАЙФ ЭКО РЕЗИДЕНСИ""",,,,,,,,"Армения, 0014, Ереван Комитаси пр., 56 дом; Армения, Ереван Багреванди ул., 84 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",,24.11.2024,https://www.spyur.am/ru/companies/parklife-eco-residency/56162,2026-07-12T21:07:14+00:00
"""ЭМ ЭМ ЭС КАПИТАЛ""",,,,,,,,"Армения, 0001, Ереван Налбандян ул., 23 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ ЖИЛЫЕ ПОМЕЩЕНИЯ (ЖИЛАЯ НЕДВИЖИМОСТЬ) ОТ ЗАСТРОЙЩИКА",,04.12.2024,https://www.spyur.am/ru/companies/mms-capital/56392,2026-07-12T21:07:18+00:00
"""ГЛОБАЛ ФОТОН"" общество с ограниченной ответственностью (ООО)",,,,,,,,"Армения, Котайкский марз, Раздан Микрошрджан квартал, 111 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЖИЛЫЕ ПОМЕЩЕНИЯ (ЖИЛАЯ НЕДВИЖИМОСТЬ) ОТ ЗАСТРОЙЩИКА ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",,15.02.2016,https://www.spyur.am/ru/companies/global-photon/56815,2026-07-12T21:07:25+00:00
